scan_index,t,x,y,theta,true_x,true_y,true_theta,position_error_m,heading_error_rad,ess,beams,mean_log_likelihood,best_particle,best_particle_weight,candidate_cluster_mass,candidate_cluster_count,selected_cluster_mass,selected_switched,previous_cluster_mass,previous_cluster_count,hypothesis_switches,true_nearest_particle_weight,true_nearest_particle_rank,true_cluster_mass,true_cluster_count
334,74.8,-2.7545124730836545,-11.807081991050147,-3.1156105455178844,-11.7,2.847826,1.570796,17.16939356297599,1.5967787616617015,105.48533745862738,56,-15.360246666666667,1621,0.0261723724546068,0.9947750420779207,2854,0.9961108878566901,0,0.9961108878566901,2896,14,1.3858887373666028e-81,2945,0.0,0
336,75.4,-2.9467536368567124,-11.811865209480912,-3.125451984515788,-11.7,3.056522,1.570796,17.253644835365563,1.5869373226637988,2581.1870215660547,56,-9.326753333333334,0,0.0004350321699191322,0.9952152124701793,2898,0.9975281867534229,0,0.9975281867534229,2905,14,2.6530123966132816e-68,2930,0.0,0
338,76.0,-3.1494087637713166,-11.814624626084134,-3.1314733220044344,-11.7,3.265217,1.570796,17.335346375450666,1.5809159851751515,2209.323577821453,56,-9.123933333333333,0,0.0005422227475000322,0.9969003972207915,2904,0.9973267910659888,0,0.9973267910659888,2904,14,4.704281928311447e-127,2927,0.0,0
340,76.6,-3.3461318511851275,-11.814355236559418,3.1309123379783834,-11.7,3.473913,1.570796,17.42177541815917,1.5601163379783833,1451.6531318204898,56,-10.878813333333333,687,0.001106125964912814,0.9889330743706448,2881,0.9976996576612833,0,0.9976996576612833,2903,14,1.8704527762008726e-183,2927,0.0,0
342,77.2,-3.5540360167849205,-11.812849166669576,3.131177555910762,-11.7,3.682609,1.570796,17.506168998694264,1.5603815559107619,2677.394508829036,56,-8.986206666666668,2,0.00041239561710039875,0.9939014749194177,2889,0.9974221578804734,0,0.9974221578804734,2903,14,3.5891210178936744e-105,2951,0.0,0
344,77.8,-3.757092449523836,-11.809464924418425,3.1228753083943612,-11.7,3.891304,1.570796,17.595565497402877,1.5520793083943611,2007.843206975021,56,-9.649280000000001,65,0.0007242790243940518,0.9960067293634612,2896,0.9970890864210484,0,0.9970890864210484,2902,14,1.125058551876541e-96,2925,0.0,0
346,78.4,-3.9687143325910297,-11.807635528078878,3.1309598039540405,-11.7,4.1,1.570796,17.686877795848556,1.5601638039540404,1737.6984073168874,56,-9.455226666666668,550,0.000898857569692104,0.9976368476289725,2903,0.9976368476289725,1,0.997371369477851,2903,15,3.5889777877462594e-144,2925,0.0,0
348,79.0,-4.175873770887813,-11.806546492553236,3.136910898306158,-11.7,4.308696,1.570796,17.78520497788562,1.5661148983061581,1424.9665334731128,56,-10.243146666666668,550,0.0011701024155543382,0.9972641635500319,2905,0.9972641635500319,1,0.9972282041388204,2903,16,6.068362276693084e-191,2924,0.0,0
350,79.6,-4.321194753797169,-11.800531897484651,3.0864347066255347,-11.7,4.517391,1.570796,17.908695501058816,1.5156387066255346,802.7147952937646,56,-12.932326666666668,2703,0.0032168242098484703,0.9999917987865534,2900,0.9999917987865534,0,0.9999917987865534,2900,16,2.4618548977503136e-62,2927,0.0,0
352,80.2,-4.531000713451462,-11.793264645836052,3.1118733544212964,-11.7,4.726087,1.570796,18.007874099107863,1.5410773544212963,1616.8548128398556,56,-10.210233333333333,5,0.0008384748487012418,0.9991615251410506,2909,0.9999999999897519,0,0.9999999999897519,2910,16,1.024812890627628e-11,2908,1.024812890627628e-11,1
354,80.8,-4.744989237621057,-11.790323040977281,3.1269911262989374,-11.7,4.934783,1.570796,18.11356803025681,1.5561951262989373,2231.0854565391096,56,-10.3847,2,0.0005312766651732402,0.9996218024709176,2909,0.9999999494343642,0,0.9999999494343642,2910,16,6.031044215310561e-84,2941,6.031044215310561e-84,1
356,81.4,-4.910156166086484,-11.789007452250402,3.132961754502459,-11.7,5.143478,1.570796,18.243109463016577,1.562165754502459,1821.5092580945056,56,-10.159766666666666,13,0.0007088697446513191,0.9999999997072899,2910,0.9999999997072899,0,0.9999999997072899,2910,16,7.982779600745157e-166,2940,7.982779600745157e-166,1
358,82.0,-5.05311437354096,-11.789207951167128,3.1402309253543366,-11.7,5.352174,1.570796,18.384995614006165,1.5694349253543365,1352.6994524574977,56,-11.425653333333333,119,0.00105740206247489,0.99999999999332,2910,0.99999999999332,0,0.99999999999332,2910,16,4.196844716014803e-250,2938,4.196844716014803e-250,1
360,82.6,-4.941481321362492,-11.782810032657835,3.109451209700703,-11.7,5.56087,1.570796,18.613995052237073,1.538655209700703,593.6196950332348,56,-14.501153333333335,2441,0.004671795312834305,0.9999998934751348,2906,0.9999999247608222,0,0.9999999247608222,2911,16,1.3360431340105925e-99,2949,0.0,0
