scan_index,t,x,y,theta,true_x,true_y,true_theta,position_error_m,heading_error_rad,ess,beams,mean_log_likelihood,best_particle,best_particle_weight,candidate_cluster_mass,candidate_cluster_count,selected_cluster_mass,selected_switched,previous_cluster_mass,previous_cluster_count,pending_mean_candidate_mass,pending_mean_selected_mass,pending_count,hypothesis_switches,true_nearest_particle_weight,true_nearest_particle_rank,true_cluster_mass,true_cluster_count
60,16.4,-3.3776031204275063,11.754128657643799,3.1116938792463964,-6.023077,-11.7,0.0,23.602853283804663,3.1116938792463964,4268.439727491672,72,-12.532953125,1789,0.0003474795229610377,1.0,5880,1.0,0,1.0,5880,1.0,1.0,0,2,7.185113298937259e-227,5944,7.185113298937259e-227,1
61,16.6,-3.4453984480071913,11.755450497833667,3.12686963210205,-5.953846,-11.7,0.0,23.589202342966672,3.12686963210205,3138.839371398589,72,-12.689776041666667,1162,0.0005202433494571625,0.9999397774611449,5879,0.9999397774611449,0,1.0,5880,0.9999397774611449,1.0,0,2,0.0,5939,0.0,1
62,16.8,-3.515579468881099,11.755764860990245,3.1368835933454027,-5.884615,-11.7,0.0,23.575097763567566,3.1368835933454027,4769.503867210092,72,-12.947895833333334,2,0.0002405849725385288,0.9999999995895171,5881,0.9999999995895171,0,0.9999999995895171,5881,0.9999999995895171,0.9999999995895171,0,2,2.405849725385288e-304,5961,2.910299598532562e-300,2
63,17.0,-3.5856197569163606,11.755842127384469,3.139823234634187,-5.815385,-11.7,0.0,23.561587020912828,3.139823234634187,3820.208432551893,72,-13.41965625,2,0.00032461704270955873,0.9999999999999994,5881,0.9999999999999994,0,0.9999999999999994,5881,0.9999999999999994,0.9999999999999994,0,2,0.0,5975,0.0,2
64,17.2,-3.656902999081934,11.7558505531604,-3.1405703049588354,-5.746154,-11.7,0.0,23.548713232723188,3.1405703049588354,3074.6226770612157,72,-13.945833333333333,2,0.00043479071860461283,1.0000000000000002,5881,1.0000000000000002,0,1.0000000000000002,5881,1.0000000000000002,1.0000000000000002,0,2,0.0,5935,0.0,2
65,17.4,-3.723456362514438,11.755699662958616,-3.138508140169133,-5.676923,-11.7,0.0,23.53690460920225,3.138508140169133,4779.9902290076125,72,-12.246088541666667,1,0.00024282792591754672,0.9999999999999999,5881,0.9999999999999999,0,0.9999999999999999,5881,0.9999999999999999,0.9999999999999999,0,2,2.4588300431058005e-195,5934,2.4588300431058005e-195,1
66,17.6,-3.7934746552141725,11.755681524620652,-3.139777052280598,-5.607692,-11.7,0.0,23.525738678276443,3.139777052280598,3813.550724220063,72,-12.69928125,1,0.0003320836940220327,1.0,5881,1.0,0,1.0,5881,1.0,1.0,0,2,0.0,5925,0.0,1
67,17.8,-3.862345110853666,11.755701071028593,3.1409126014000495,-5.538462,-11.7,0.0,23.515511488367277,3.1409126014000495,3075.3166544272767,72,-13.031213541666666,1,0.00044774316699392575,1.0,5881,1.0,0,1.0,5881,1.0,1.0,0,2,0.0,5953,0.0,1
68,18.0,-3.9438414169613543,11.756061041873526,3.0919009467778427,-5.469231,-11.7,0.0,23.50560811764162,3.0919009467778427,1089.4654138243275,72,-17.792739583333333,509,0.0025333009397696294,0.9999999992944069,5881,0.9999999992944069,0,0.9999999992944069,5881,0.9999999992944069,0.9999999992944069,0,2,2.5333009397696295e-303,5987,0.0,0
69,18.2,-4.014207939414668,11.757957283950422,3.099648363341521,-5.4,-11.7,0.0,23.49885485658448,3.099648363341521,3769.6838011582713,72,-13.313130208333334,388,0.0005207588916376693,1.0,5880,1.0,0,1.0,5880,1.0,1.0,0,2,1.65925669923925e-195,5934,9.140514181489814e-108,2
