scan_index,t,x,y,theta,true_x,true_y,true_theta,position_error_m,heading_error_rad,ess,beams,mean_log_likelihood
322,71.2,-1.4711846887350544,-11.799740442412059,-3.130052979214668,-11.7,1.595652,1.570796,16.854233929734043,1.5823363279649183,1726.0950217166305,56,-10.471686666666667
324,71.8,-1.6580881311216689,-11.458622030856771,-3.0791958216372564,-11.7,1.804348,1.570796,16.635695597771807,1.6331934855423305,703.5509470503313,56,-13.326286666666666
326,72.4,-1.9204012353028954,-11.81424373501384,-3.1334044647326786,-11.7,2.013043,1.570796,16.93618641993394,1.5789848424469073,753.0163209241144,56,-13.909586666666668
328,73.0,-2.0674363613279323,-11.814863414629778,-3.13571762836874,-11.7,2.221739,1.570796,17.023879980764015,1.576671678810847,2626.6361238085856,56,-8.611160000000002
330,73.6,-2.271332308332381,-11.81525202739365,-3.139659391887535,-11.7,2.430435,1.570796,17.0833068614466,1.572729915292051,2261.0927388559103,56,-9.259993333333334
332,74.2,-2.46982212717891,-11.807499105924387,3.0914577121449076,-11.7,2.63913,1.570796,17.14354911003138,1.5206617121449075,672.5530037267768,56,-13.078406666666668
334,74.8,-2.7634036061243163,-11.80693789388708,-3.115439344909704,-11.7,2.847826,1.570796,17.164639812492666,1.5969499622698822,105.48533745862738,56,-15.360246666666667
336,75.4,-2.9538043211270195,-11.811793529140399,-3.125355221827146,-11.7,3.056522,1.570796,17.25000711672937,1.587034085352441,2581.1870215660547,56,-9.326753333333334
338,76.0,-3.1553499812352204,-11.814516418638572,-3.131428359426234,-11.7,3.265217,1.570796,17.332322519511973,1.5809609477533526,2209.323577821453,56,-9.123933333333333
340,76.6,-3.3393872515431835,-11.814497457020277,3.1308787110575054,-11.7,3.473913,1.570796,17.42513528877138,1.5600827110575053,1451.6531318204898,56,-10.878813333333333
342,77.2,-3.562559577544944,-11.812833935897403,3.1312125162590525,-11.7,3.682609,1.570796,17.502190960238615,1.5604165162590524,2677.394508829036,56,-8.986206666666668
344,77.8,-3.7643610798648472,-11.809401873244592,3.122872600312773,-11.7,3.891304,1.570796,17.592229250123506,1.5520766003127728,2007.843206975021,56,-9.649280000000001
346,78.4,-3.9687143325910297,-11.807635528078878,3.1309598039540405,-11.7,4.1,1.570796,17.686877795848556,1.5601638039540404,1737.6984073168874,56,-9.455226666666668
348,79.0,-4.175873770887813,-11.806546492553236,3.136910898306158,-11.7,4.308696,1.570796,17.78520497788562,1.5661148983061581,1424.9665334731128,56,-10.243146666666668
350,79.6,-4.321194753797169,-11.800531897484651,3.0864347066255347,-11.7,4.517391,1.570796,17.908695501058816,1.5156387066255346,802.7147952937646,56,-12.932326666666668
352,80.2,-4.531802959810159,-11.79323898965405,3.111847660689767,-11.7,4.726087,1.570796,18.007531201123772,1.5410516606897668,1616.8548128398556,56,-10.210233333333333
354,80.8,-4.745364493337288,-11.790310703384407,3.1270038851706214,-11.7,4.934783,1.570796,18.1134125558251,1.5562078851706214,2231.0854565391096,56,-10.3847
356,81.4,-4.910156166086484,-11.789007452250402,3.132961754502459,-11.7,5.143478,1.570796,18.243109463016577,1.562165754502459,1821.5092580945056,56,-10.159766666666666
358,82.0,-5.05311437354096,-11.789207951167128,3.1402309253543366,-11.7,5.352174,1.570796,18.384995614006165,1.5694349253543365,1352.6994524574977,56,-11.425653333333333
360,82.6,-4.941481288458675,-11.782810032988822,3.1094512100987513,-11.7,5.56087,1.570796,18.61399506449245,1.5386552100987512,593.6196950332348,56,-14.501153333333335
362,83.2,-5.146949852365243,-11.781009005870128,3.136354520281904,-11.7,5.769565,1.570796,18.73406293821338,1.565558520281904,1790.302368466831,56,-10.884733333333335
364,83.8,-5.104725356325487,-11.77987625182093,3.1179485835760143,-11.7,5.978261,1.570796,18.94331244212601,1.5471525835760143,509.0164533868929,56,-13.727613333333332
366,84.4,-5.314383199764961,-11.785064194948504,-3.0946563357669996,-11.7,6.186957,1.570796,19.072746203709684,1.6177329714125863,245.49589042741158,56,-16.138840000000002
368,85.0,-5.526896871091801,-11.793116748657612,-3.105721476020696,-11.7,6.395652,1.570796,19.2077721465109,1.6066678311588902,2622.4867859871483,56,-8.668800000000001
370,85.6,-5.734647804885238,-11.798243369430015,-3.1144391641172384,-11.7,6.604348,1.570796,19.34530423441256,1.597950143062348,2164.143179548841,56,-8.942933333333334
372,86.2,-5.943117437836819,-11.802573604156752,-3.1192543370445907,-11.7,6.813043,1.570796,19.485452994156823,1.5931349701349957,1872.061203481675,56,-9.081293333333333
374,86.8,-6.158710062515095,-11.812863707075408,-3.094430057324959,-11.7,7.021739,1.570796,19.632833552613942,1.617959249854627,1227.0979012452756,56,-10.832326666666667
376,87.4,-6.3664566785941625,-11.81892141867366,-3.104629796212995,-11.7,7.230435,1.570796,19.78192772019391,1.6077595109665916,2493.7682009591244,56,-9.10026
378,88.0,-7.0323093144967785,-11.84640700356843,-3.0708647598255103,-11.7,7.43913,1.570796,19.842360591712385,1.6415245473540756,19.96044375590441,56,-27.860746666666667
