scan_index,t,odom_index,x,y,theta,selected_cluster_mass,candidate_cluster_mass,candidate_cluster_count,best_particle,best_particle_weight,previous_cluster_mass,previous_cluster_count,pending_mean_candidate_mass,pending_mean_selected_mass,pending_count,selected_switched,hypothesis_switches,ess,ess_ratio,beams,mean_log_likelihood,stable_now,accepted,reference_x,reference_y,reference_theta,reference_position_error_m,reference_heading_error_rad
6276,629.4356079101562,6244,3.015854599021632,1.2832682953301267,-0.8661781629693204,1.0,1.0,5880,272,0.00046255120365178875,1.0,5880,1.0,0.0,0,0,18,3174.6525287015425,0.5291087547835904,72,-10.906301652892566,0,0,7.006995,-2.512759,1.640609,5.508087229448452,2.5067871629693204
6278,629.6360473632812,6246,3.0281375840029074,1.2698199022133263,-0.8629395494697204,1.0,1.0,5880,272,0.0006417402575229253,1.0,5880,1.0,0.0,0,0,18,2437.02667313574,0.40617111218929003,72,-11.225210915977964,0,0,7.004187,-2.472546,1.640609,5.460244637788657,2.5035485494697203
6280,629.8372192382812,6248,3.0441915540712476,1.253844801119936,-0.8544154692565785,0.9999999999979975,0.9999999999979975,5880,24,0.00021762146964118215,0.9999999999979975,5880,0.9999999999979975,0.0,0,0,18,5381.380386416569,0.8968967310694282,72,-10.382287362258957,0,0,7.000736,-2.433099,1.640609,5.4081233848005335,2.4950244692565784
6282,630.0380859375,6250,3.0582767505693518,1.2400926278328477,-0.8483156810654413,1.0,1.0,5880,24,0.0002845777744748711,1.0,5880,1.0,0.0,0,0,18,4518.251156607612,0.753041859434602,72,-10.631826790633612,0,0,6.997285,-2.393651,1.640609,5.359093089497375,2.4889246810654413
6284,630.2393798828125,6252,3.073457257992803,1.2246429345496297,-0.8403986949379345,0.9999999999999999,0.9999999999999999,5880,58,0.0003653217251533785,0.9999999999999999,5880,0.9999999999999999,0.0,0,0,18,3705.105411097741,0.6175175685162901,72,-9.90646952479339,0,0,6.994476,-2.353438,1.640609,5.308206019867659,2.4810076949379347
6286,630.4404296875,6254,3.086856876560409,1.2118567450883098,-0.8360713709668794,0.9999999999999999,0.9999999999999999,5880,179,0.0004949793040739264,0.9999999999999999,5880,0.9999999999999999,0.0,0,0,18,2932.0234985939555,0.4886705830989926,72,-10.202539600550967,0,0,6.991025,-2.313991,1.640609,5.260620786335595,2.4766803709668794
6288,630.6412353515625,6256,3.0984355403666,1.1995548728210552,-0.8346049686633213,1.0,1.0,5880,305,0.0007153843822638294,1.0,5880,1.0,0.0,0,0,18,2252.4602116891965,0.3754100352815328,72,-10.313769800275484,0,0,6.988217,-2.273777,1.640609,5.214828290793702,2.475213968663321
6290,630.84228515625,6258,3.113583678645017,1.1853075890955482,-0.8282430042962475,0.9999999999998392,0.9999999999998392,5880,12,0.0002282664143401815,0.9999999999998392,5880,0.9999999999998392,0.0,0,0,18,5294.133562679339,0.8823555937798898,72,-9.291322314049589,0,0,6.984765,-2.23433,1.640609,5.165265342996711,2.4688520042962474
6292,631.0433349609375,6260,3.1275907655123794,1.171889311509579,-0.8210449669314479,1.0,1.0,5880,12,0.000310091130146908,1.0,5880,1.0,0.0,0,0,18,4355.995797559445,0.7259992995932408,72,-9.28518422865014,0,0,6.981957,-2.194117,1.640609,5.117239251655193,2.461653966931448
6294,631.2444458007812,6262,3.139356601925642,1.16092252182369,-0.8187480085591121,1.0,1.0,5880,227,0.000443566727202051,1.0,5880,1.0,0.0,0,0,18,3451.5186222544576,0.5752531037090762,72,-8.953607093663914,0,0,6.978506,-2.154669,1.640609,5.072693095420207,2.4593570085591123
