candidates,heading_error_rad,matches,position_error_m,scan_index,score,success,theta,true_t,true_theta,true_x,true_y,x,y
0,,0,,1040,inf,0,,276.4,,,,,
0,,0,,1045,inf,0,,277.4,,,,,
0,,0,,1050,inf,0,,278.4,,,,,
0,,0,,1055,inf,0,,279.4,,,,,
0,,0,,1060,inf,0,,280.4,,,,,
0,,0,,1065,inf,0,,281.4,,,,,
0,,0,,1070,inf,0,,282.4,,,,,
0,,0,,1075,inf,0,,283.4,,,,,
0,,0,,1080,inf,0,,284.4,,,,,
0,,0,,1085,inf,0,,285.4,,,,,
0,,0,,1090,inf,0,,286.4,,,,,
0,,0,,1095,inf,0,,287.4,,,,,
0,,0,,1100,inf,0,,288.4,,,,,
0,,0,,1105,inf,0,,289.4,,,,,
0,,0,,1110,inf,0,,290.4,,,,,
0,,0,,1115,inf,0,,291.4,,,,,
0,,0,,1120,inf,0,,292.4,,,,,
0,,0,,1125,inf,0,,293.4,,,,,
0,,0,,1130,inf,0,,294.4,,,,,
0,,0,,1135,inf,0,,295.4,,,,,
0,,0,,1140,inf,0,,296.4,,,,,
0,,0,,1145,inf,0,,297.4,,,,,
0,,0,,1150,inf,0,,298.4,,,,,
0,,0,,1155,inf,0,,299.4,,,,,
0,,0,,1160,inf,0,,300.4,,,,,
