scan_index,t,x,y,theta,true_x,true_y,true_theta,position_error_m,heading_error_rad,ess,beams,mean_log_likelihood,best_particle,best_particle_weight,candidate_cluster_mass,candidate_cluster_count,selected_cluster_mass,selected_switched,previous_cluster_mass,previous_cluster_count,pending_mean_candidate_mass,pending_mean_selected_mass,pending_count,hypothesis_switches,true_nearest_particle_weight,true_nearest_particle_rank,true_cluster_mass,true_cluster_count
738,195.9,11.98480816470919,4.511144310145449,1.574372346652726,-4.638462,-12.0,0.0,23.429703314369114,1.574372346652726,2250.6011394385955,56,-10.515813333333334,192,0.000604701463129005,1.0,2910,1.0,0,1.0,2910,1.0,1.0,0,11,3.726058693527358e-72,2934,0.0,0
740,196.5,11.984495917140004,4.717737794944394,1.5729573421611542,-4.430769,-12.0,0.0,23.429547142025594,1.5729573421611542,1558.1367624854636,56,-11.26098,1381,0.0011911499533753705,1.0,2910,1.0,0,1.0,2910,1.0,1.0,0,11,1.7632744774672375e-147,2936,0.0,0
742,197.1,11.9848686460761,4.924832390817989,1.5714924534496282,-4.223077,-12.0,0.0,23.433895397979374,1.5714924534496282,2199.581625978247,56,-10.12364,101,0.0006601615662293424,0.999999999952116,2910,0.999999999952116,0,0.999999999952116,2910,0.999999999952116,0.999999999952116,0,11,1.2854794795673442e-137,2961,0.0,0
744,197.7,11.984528958539467,5.121571925130137,1.5481559100486997,-4.015385,-12.0,0.0,23.433853116123917,1.5481559100486997,1151.1426308709267,56,-12.182846666666665,173,0.002119161515737829,0.9999999999999999,2910,0.9999999999999999,0,0.9999999999999999,2910,0.9999999999999999,0.9999999999999999,0,11,1.0762524459661307e-267,2961,0.0,0
746,198.3,11.984095992042278,5.236518144820316,1.605682715373397,-3.807692,-12.0,0.0,23.37687159870479,1.605682715373397,300.1435597368094,56,-14.81754,1630,0.01034698113953485,0.9938915539592567,2910,0.9938915539592567,0,0.9938915539592567,2910,0.9938915539592567,0.9938915539592567,0,11,5.1040478104109106e-101,2950,0.0,0
748,198.9,11.980693879150001,5.441116838905701,1.5858093634197947,-3.6,-12.0,0.0,23.386974544479717,1.5858093634197947,1681.6302980916198,56,-12.228206666666667,1449,0.0009072359685943588,0.9999643327944978,2892,0.9999643327944978,0,0.9999643327944978,2892,0.9999643327944978,0.9999643327944978,0,11,6.130421076718322e-69,2924,0.0,0
750,199.5,11.978270298996271,5.500182354871788,1.5961538681203173,-3.392308,-12.0,0.0,23.291866814391263,1.5961538681203173,599.0738442322496,56,-14.431726666666664,1358,0.006449217901484449,0.9999964853283854,2892,0.9999964853283854,0,0.9999964853283854,2892,0.9999964853283854,0.9999964853283854,0,11,5.8649845109296215e-121,2922,0.0,0
752,200.1,11.976891711523756,5.654093887011953,1.5823335478012452,-3.184615,-12.0,0.0,23.270975844064054,1.5823335478012452,1799.0793251967148,56,-11.018133333333333,555,0.0010943994772274035,0.9999999785501719,2911,0.9999999785501719,0,0.9999999785501719,2911,0.9999999785501719,0.9999999785501719,0,11,1.0614101165831831e-84,2943,0.0,0
754,200.7,11.976366153012169,5.853883533865444,1.5740649516222653,-2.976923,-12.0,0.0,23.28866706650303,1.5740649516222653,1184.3971368182206,56,-10.942133333333334,2840,0.001915269141445827,0.9999999999997785,2911,0.9999999999997785,0,0.9999999999997785,2911,0.9999999999997785,0.9999999999997785,0,11,6.996271642643487e-156,2941,0.0,0
756,201.3,11.97694926935047,6.020876014737304,1.5743237463402004,-2.769231,-12.0,0.0,23.285227181084476,1.5743237463402004,2013.126579139838,56,-11.247866666666669,131,0.0008718057225866803,0.9999999926233332,2910,0.9999999926233332,0,0.9999999926233332,2910,0.9999999926233332,0.9999999926233332,0,11,1.4638132686668524e-41,2914,0.0,0
